name,price,rr
"MOTOROLA G32 (Mineral Gray, 128 GB)","₹11,999",779 Ratings & 42 Reviews
"POCO C50 (Country Green, 32 GB)","₹6,499","10,601 Ratings & 441 Reviews"
"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)","₹10,999","1,32,937 Ratings & 7,608 Reviews"
"POCO M4 5G (Power Black, 128 GB)","₹14,999","30,908 Ratings & 2,307 Reviews"
"POCO M4 Pro 5G (Cool Blue, 128 GB)","₹15,999","15,592 Ratings & 1,202 Reviews"
"realme C55 (Sunshower, 128 GB)","₹13,999",
"realme C55 (Sunshower, 64 GB)","₹10,999",
"realme C55 (Rainy Night, 128 GB)","₹13,999",
"realme C55 (Rainy Night, 64 GB)","₹11,999",324 Ratings & 0 Reviews
"realme C55 (Rainy Night, 64 GB)","₹10,999",
"vivo T1 44W (Starry Sky, 128 GB)","₹17,999","6,331 Ratings & 508 Reviews"
"vivo T1 44W (Midnight Galaxy, 128 GB)","₹17,999","6,331 Ratings & 508 Reviews"
"POCO M4 5G (Yellow, 64 GB)","₹12,999","61,524 Ratings & 4,527 Reviews"
"Realme C30 - Locked with Airtel Prepaid (Denim Black, 32 GB)","₹5,299","94,043 Ratings & 4,998 Reviews"
"MOTOROLA g52 (Charcoal Grey, 64 GB)","₹10,999","13,365 Ratings & 1,538 Reviews"
"SAMSUNG Galaxy F13 (Nightsky Green, 128 GB)","₹11,999","1,32,937 Ratings & 7,608 Reviews"
"POCO C50 (Royal Blue, 32 GB)","₹6,749","3,637 Ratings & 208 Reviews"
Cellecor E3,"₹1,176",28 Ratings & 1 Reviews
"SAMSUNG Galaxy F13 (Sunrise Copper, 128 GB)","₹11,999","1,32,937 Ratings & 7,608 Reviews"
"MOTOROLA g31 (Baby Blue, 128 GB)","₹10,999","15,618 Ratings & 1,553 Reviews"
"MOTOROLA G62 5G (Frosted Blue, 128 GB)","₹15,999","22,653 Ratings & 2,135 Reviews"
"POCO C50 (Country Green, 32 GB)","₹6,749","3,637 Ratings & 208 Reviews"
"POCO M4 Pro 5G (Yellow, 64 GB)","₹12,999","44,814 Ratings & 3,754 Reviews"
"MOTOROLA e40 (Carbon Gray, 64 GB)","₹10,999","76,015 Ratings & 7,044 Reviews"
"MOTOROLA g52 (Metallic White, 128 GB)","₹12,999","32,572 Ratings & 3,686 Reviews"
"POCO C55 (Forest Green, 64 GB)","₹8,499","4,776 Ratings & 216 Reviews"
"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)","₹11,999","1,32,937 Ratings & 7,608 Reviews"
"POCO M4 Pro (Cool Blue, 64 GB)","₹11,999","1,59,420 Ratings & 14,164 Reviews"
"vivo T1 44W (Ice Dawn, 128 GB)","₹15,999","55,596 Ratings & 3,920 Reviews"
"REDMI 10 (Pacific Blue, 64 GB)","₹9,999","2,06,540 Ratings & 12,967 Reviews"
"MOTOROLA G32 (Satin Silver, 128 GB)","₹11,999",779 Ratings & 42 Reviews
"MOTOROLA e13 (Cosmic Black, 64 GB)","₹7,749","8,029 Ratings & 706 Reviews"
"MOTOROLA g31 (Meteorite Grey, 64 GB)","₹9,499","37,045 Ratings & 4,069 Reviews"
"POCO M4 Pro 5G (Yellow, 128 GB)","₹14,999","52,153 Ratings & 4,417 Reviews"
"Infinix Hot 12 (Exploratory Blue, 64 GB)","₹8,499","22,408 Ratings & 1,548 Reviews"
"Infinix Hot 12 (7° Purple, 64 GB)","₹8,499","22,408 Ratings & 1,548 Reviews"
"APPLE iPhone 14 (Starlight, 128 GB)","₹70,999","25,771 Ratings & 986 Reviews"
"MOTOROLA G32 (Mineral Gray, 64 GB)","₹10,499","32,862 Ratings & 3,079 Reviews"
"APPLE iPhone 14 Plus (Starlight, 128 GB)","₹76,999","7,267 Ratings & 473 Reviews"
"MOTOROLA e13 (Creamy White, 64 GB)","₹7,749","8,029 Ratings & 706 Reviews"
SAMSUNG Guru Music 2,"₹2,098","2,01,055 Ratings & 18,561 Reviews"
"MOTOROLA g22 (Cosmic Black, 64 GB)","₹9,499","31,547 Ratings & 3,607 Reviews"
"Infinix Hot 12 (Turquoise Cyan, 64 GB)","₹8,499","22,408 Ratings & 1,548 Reviews"
"Infinix Hot 12 (Polar Black, 64 GB)","₹8,499","22,408 Ratings & 1,548 Reviews"
"realme 10 Pro 5G (Nebula Blue, 128 GB)","₹18,999","12,786 Ratings & 967 Reviews"
"realme 10 Pro 5G (Nebula Blue, 128 GB)","₹19,999","7,590 Ratings & 587 Reviews"
"POCO C55 (Forest Green, 128 GB)","₹9,999","2,967 Ratings & 134 Reviews"
"Realme C30 - Locked with Airtel Prepaid (Bamboo Green, 32 GB)","₹6,299","43,715 Ratings & 2,770 Reviews"
"Realme C30 - Locked with Airtel Prepaid (Bamboo Green, 32 GB)","₹5,299","94,043 Ratings & 4,998 Reviews"
"APPLE iPhone 14 Plus (Midnight, 128 GB)","₹76,999","7,267 Ratings & 473 Reviews"
"REDMI A1 (Light Blue, 32 GB)","₹6,246","5,426 Ratings & 256 Reviews"
"REDMI A1 (Light Green, 32 GB)","₹6,227","5,426 Ratings & 256 Reviews"
"REDMI 10 (Midnight Black, 64 GB)","₹9,999","2,06,540 Ratings & 12,967 Reviews"
"APPLE iPhone 11 (Black, 64 GB)","₹37,999","1,88,804 Ratings & 10,984 Reviews"
"SAMSUNG Galaxy F04 (Opal Green, 64 GB)","₹7,499","5,937 Ratings & 219 Reviews"
"REDMI 10 (Shadow Black, 64 GB)","₹9,999","2,06,540 Ratings & 12,967 Reviews"
"realme 10 Pro 5G (Dark Matter, 128 GB)","₹19,999","7,590 Ratings & 587 Reviews"
"realme 10 Pro 5G (Dark Matter, 128 GB)","₹18,999","12,786 Ratings & 967 Reviews"
"realme 10 Pro 5G (Hyperspace, 128 GB)","₹18,999","12,786 Ratings & 967 Reviews"
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","₹16,999","1,73,807 Ratings & 13,586 Reviews"
"Infinix Smart 6 HD (Origin Blue, 32 GB)","₹5,999","27,216 Ratings & 1,496 Reviews"
"Infinix Smart 6 HD (Force Black, 32 GB)","₹5,999","27,216 Ratings & 1,496 Reviews"
"Infinix Smart 6 HD (Aqua Sky, 32 GB)","₹5,999","27,216 Ratings & 1,496 Reviews"
"Infinix HOT 20 Play (Aurora Green, 64 GB)","₹8,499","15,918 Ratings & 826 Reviews"
"Infinix HOT 20 Play (Racing Black, 64 GB)","₹8,499","15,918 Ratings & 826 Reviews"
Cellecor E3,"₹1,176",28 Ratings & 1 Reviews
"Infinix HOT 20 Play (Luna Blue, 64 GB)","₹8,499","15,918 Ratings & 826 Reviews"
"MOTOROLA g72 (Polar Blue, 128 GB)","₹14,999","12,331 Ratings & 1,649 Reviews"
"MOTOROLA g73 5G (Midnight Blue, 128 GB)","₹18,999","2,680 Ratings & 331 Reviews"
"POCO M4 Pro 5G (Yellow, 128 GB)","₹15,999","15,592 Ratings & 1,202 Reviews"
"MOTOROLA G62 5G (Midnight Gray, 128 GB)","₹16,999","7,889 Ratings & 724 Reviews"
"POCO M4 Pro (Yellow, 128 GB)","₹12,999","1,59,420 Ratings & 14,164 Reviews"
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)","₹21,974","4,214 Ratings & 359 Reviews"
"MOTOROLA G62 5G (Frosted Blue, 128 GB)","₹16,999","7,889 Ratings & 724 Reviews"
"Infinix HOT 20 Play (Fantasy Purple, 64 GB)","₹8,499","15,918 Ratings & 826 Reviews"
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)","₹19,660","53,588 Ratings & 3,986 Reviews"
"REDMI A1 (Black, 32 GB)","₹6,264","5,426 Ratings & 256 Reviews"
"OPPO A17k (Blue, 64 GB)","₹9,499","2,382 Ratings & 58 Reviews"
"SAMSUNG Galaxy M33 5G (Mystique Green, 128 GB)","₹15,995","8,506 Ratings & 659 Reviews"
"Infinix Hot 20 5G (Blaster Green, 128 GB)","₹13,499","2,354 Ratings & 194 Reviews"
Nokia 105 PLUS,"₹1,379","7,948 Ratings & 546 Reviews"
"MOTOROLA g73 5G (Lucent White, 128 GB)","₹18,999","2,680 Ratings & 331 Reviews"
"REDMI 10 (Midnight Black, 128 GB)","₹11,999","27,693 Ratings & 1,943 Reviews"
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹16,999","1,73,807 Ratings & 13,586 Reviews"
"APPLE iPhone 13 (Green, 128 GB)","₹61,999","1,98,672 Ratings & 10,810 Reviews"
"vivo T1X (Gravity Black, 64 GB)","₹11,999","85,750 Ratings & 4,778 Reviews"
